gene_id	n_tissues_used	n_isoforms	dominant_isoform_switch_range	isoform_entropy_range	log1p_gene_expr_range	median_gene_tpm
ENSG00000000003	52	4	0.3756577302296311	0.6573729961978771	3.1202493413917187	9.760000000000002
ENSG00000000005	7	2	0.23048805815160944	0.3407212407600725	2.289945158058226	2.3899999999999997
ENSG00000000419	54	6	0.12397746444998403	0.36872243326640797	2.3030505340078005	30.1
ENSG00000000457	54	5	0.2895493767976989	0.6300189161093971	1.5146755277680974	5.154999999999999
ENSG00000000460	37	9	0.3699200134950869	0.647862509483127	1.8705284072816384	2.4299999999999997
ENSG00000000938	53	7	0.3183695892990169	0.6994156415169486	4.634114313842398	5.215
ENSG00000000971	52	3	0.34560146983232765	0.36642065502069315	4.473677493023237	17.630000000000003
ENSG00000001036	54	3	0.31029446933038696	0.7003419200644978	2.748973488719994	16.82
ENSG00000001084	51	7	0.41658520690778755	0.7965967800641616	1.430311246536665	3.155
ENSG00000001167	54	2	0.35383549809909076	0.5990194479478563	2.488119872658232	8.1675
ENSG00000001460	51	12	0.4809784100015874	1.2925039040026332	2.8603473122801457	3.9099999089999997
ENSG00000001461	54	7	0.5126622087416706	1.0159851126517523	3.5257081663178615	7.1900001
ENSG00000001497	54	5	0.37886876696400246	0.3994527275345321	3.2557720132494827	24.5125
ENSG00000001561	52	1	0.0	0.0	2.397703057516664	5.8625
ENSG00000001617	52	7	0.38006853954310205	0.7745201275847542	3.508668344814528	9.205000000000002
ENSG00000001626	9	11	0.3638640984551461	0.719134280227535	3.156262841431727	3.71
ENSG00000001629	53	6	0.3366477272727273	0.9547403211825639	1.8847719151270872	9.16
ENSG00000001630	54	3	0.43404370110601564	0.8984775712039765	3.482105515612121	14.889999495
ENSG00000001631	53	14	0.31316368944677975	0.8599578666660168	1.6172759669311843	7.34000002
ENSG00000002016	53	15	0.1819814939972762	0.6596160560697977	1.7043171506243437	5.8999998
ENSG00000002330	54	6	0.13082098177603818	0.48926431606016607	1.920882331567812	61.795
ENSG00000002549	54	8	0.32044146329860623	0.6564747029602924	2.8767089667958823	33.405
ENSG00000002586	54	11	0.21324230719439474	0.680076169790058	2.6538882957331413	175.64999999999998
ENSG00000002587	22	3	0.4504285682231247	0.6977165521275047	2.616820355351737	2.325
ENSG00000002726	5	7	0.28464521972809276	0.3860854037471812	2.7805269297910096	30.759999999999998
ENSG00000002746	11	11	0.48958447139371425	0.8257252599843594	1.489715952273043	2.7850002
ENSG00000002822	54	22	0.46487861431201666	0.8420827430799993	2.810702714377638	12.48000015
ENSG00000002834	54	6	0.3653046201208545	0.6870158891897679	3.120375376378896	25.604999999999997
ENSG00000002919	54	11	0.35312298283426147	0.7845636629270739	2.3140344497612544	10.6774995
ENSG00000002933	53	5	0.11510710584058048	0.2606952348964321	4.943780546152098	18.869999999999997
ENSG00000003056	54	11	0.44345771097536096	0.6195911697380314	1.614325837115322	54.417500000000004
ENSG00000003096	42	7	0.4440345080763583	0.8494055426332127	2.3909979131130994	2.825
ENSG00000003137	45	5	0.3427288517466142	0.5286381013628305	2.9507865618498736	2.915
ENSG00000003147	51	16	0.6728789003092263	1.7455693747560175	3.5432080951887728	9.56
ENSG00000003249	50	6	0.16352430509754445	0.47455621792085523	3.563457944452794	5.365
ENSG00000003393	53	10	0.31053290642707987	0.4499470912792387	3.3610165474428797	6.14
ENSG00000003400	41	9	0.40283315619022786	0.5339726444790072	2.067231377772904	2.5799999899999997
ENSG00000003402	54	19	0.3067704185356891	0.9179403869033567	2.9890588149979593	53.5075
ENSG00000003436	43	10	0.45465001398208804	0.7243086209983032	4.055504728905837	18.43
ENSG00000003509	54	10	0.5225383196681178	1.0747740151473746	3.3099600120310564	7.635
ENSG00000003756	54	10	0.2526748936932355	0.6296258007925729	1.8218673450060479	63.057498405000004
ENSG00000003987	30	7	0.2461207394826468	0.7379915294668592	1.9600947840472696	2.135
ENSG00000003989	47	6	0.4741627677911845	0.7890934736502625	3.2591103941407704	6.06
ENSG00000004059	54	3	0.01658914094209807	0.08596589379273091	1.4439765637103572	96.7325
ENSG00000004139	50	5	0.42435424354243545	0.9431835360610302	1.7163813330524316	2.395
ENSG00000004142	54	2	0.015355589317850749	0.06522857007681568	2.3674003694540042	46.19
ENSG00000004399	53	6	0.12302709561094505	0.26482637981322577	2.9306255041100524	19.05
ENSG00000004455	54	9	0.4278013878433112	0.5262350241502061	2.690625844978537	65.5299995
ENSG00000004468	28	3	0.38858093126385806	0.9155742324590711	2.4933224035057586	1.92
ENSG00000004478	54	7	0.1821673776352869	0.588405588858187	2.7257346323087983	28.527499935
ENSG00000004487	54	4	0.22842692341762233	0.3033038158676652	3.225549160722588	25.5625
ENSG00000004534	54	16	0.19486215653151104	0.41855657792512035	2.0648685087230865	87.95
ENSG00000004660	53	3	0.33433301968605716	0.373617802474856	3.2667837657779417	8.07
ENSG00000004700	54	8	0.43286644845194683	0.8538387765944204	2.8678111700455386	8.042499955
ENSG00000004766	53	12	0.3132370278619291	0.7030554963944853	1.6886085236032107	7.6399996
ENSG00000004776	52	3	0.020309365492598874	0.10753996855813129	4.737840681831509	70.6625
ENSG00000004777	53	8	0.20449801873704337	0.3200303864538918	2.915331848115953	10.18
ENSG00000004779	54	5	0.04404615505482934	0.19917073944782368	3.339298415544943	75.57499999999999
ENSG00000004799	53	1	0.0	0.0	5.808658291368673	53.095
ENSG00000004838	20	7	0.4251621762394052	0.817115732864899	5.421954956193206	2.9025
ENSG00000004848	12	5	0.0	0.0	3.115157106263619	4.315
ENSG00000004864	54	8	0.4021118180926534	1.023582085472266	2.6616010436994437	9.6625
ENSG00000004866	53	27	0.3656097226765765	0.9410287279666558	1.8602040141517182	10.624999990000001
ENSG00000004897	54	17	0.45289603332737294	1.054836871602449	2.4672723767409126	13.762499850000001
ENSG00000004961	54	3	0.2645233441277436	0.2721160113690456	1.8036999207275692	11.010000145
ENSG00000004975	54	6	0.18134643041983978	0.5362147475227099	2.4445600376554895	16.8274999975
ENSG00000005001	17	5	0.25825269727205996	0.30464038357375234	3.4206526277355334	4.11
ENSG00000005007	54	8	0.23154829136243638	0.33302848459407086	1.892869894605115	20.73
ENSG00000005020	53	8	0.47809228383094216	1.0302551462614518	2.326764586039631	7.0
ENSG00000005022	54	4	0.06145781520276272	0.25641673708228085	2.8194953323928873	146.635
ENSG00000005059	44	3	0.0771850170261067	0.27183978709910145	2.452217954537528	4.41
ENSG00000005073	16	2	0.16388467374810323	0.4460557767276596	3.715498740389214	10.3099995
ENSG00000005075	54	1	0.0	0.0	1.3530195722350182	49.075
ENSG00000005100	53	4	0.07466150870406185	0.293569231814882	1.6839602778529552	4.88
ENSG00000005102	25	3	0.20218579234972678	0.5034176854232322	2.265278040581235	2.86
ENSG00000005108	18	3	0.0	0.0	1.2586832365272445	1.77
ENSG00000005156	53	8	0.38103412401165215	0.6727467357872936	2.11130264374882	5.275
ENSG00000005175	54	5	0.43745124044312683	0.6513861495461097	1.980630617759051	9.0249999
ENSG00000005187	33	14	0.2855663063136973	0.5895036451765627	4.563479755555178	5.48999995
ENSG00000005189	34	17	0.3521706586826347	0.5575412789781066	4.904727283215336	1.645
ENSG00000005194	54	12	0.20767276591955064	0.3192506568014237	3.0152619005754753	17.975
ENSG00000005206	54	10	0.3153565532511929	0.44607506328761204	2.642782499485982	25.735
ENSG00000005238	54	9	0.2823122088557151	0.6520089922020273	2.1855642161777777	12.257499750000001
ENSG00000005243	53	8	0.3934877786680135	0.4343567512829474	3.5845699194555865	25.39
ENSG00000005249	50	3	0.009846509710598972	0.05529503214316077	3.001671281382198	8.965
ENSG00000005302	54	13	0.5056676728084868	0.9669601247545917	2.5250884394208324	14.945
ENSG00000005339	54	13	0.4834669338677354	0.9980206475831781	2.2008970015884834	13.267499984999999
ENSG00000005379	53	5	0.20451538153729376	0.3504282379073991	3.26374946432427	22.009999999999998
ENSG00000005381	5	4	0.00592592592592589	0.036298959978933454	1.3776362983767758	3.375
ENSG00000005436	53	9	0.268449807175412	0.5022627191061253	1.6698947990863788	9.645
ENSG00000005448	52	4	0.20492610837438419	0.701383296825976	3.31400864082919	7.305
ENSG00000005469	53	4	0.30576046060882445	0.37200783419882033	2.110265176749315	6.220000000000001
ENSG00000005471	6	5	0.3341605429581102	0.48812255946041905	2.372120082261387	2.034999985
ENSG00000005483	54	14	0.2124915756581387	0.4844549283911084	2.17600058523333	20.065
ENSG00000005486	54	9	0.42790419021664833	0.6166092378305977	2.9844774983360502	47.42999999999999
ENSG00000005513	31	1	0.0	0.0	3.4750824812218317	3.55
ENSG00000005700	53	6	0.020646627325199285	0.06970086914167867	1.8813715790776921	5.6750003
ENSG00000005801	53	26	0.4662845774152419	1.3892807410670636	2.004817558850444	7.300000000000001
